Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124539-203767,SF/PF,Zaccharie,Zaccharie Risacher,Risacher,20.979166666666668,24,4200,ATL@CHA,ATL,CHA,,,,,,SF/PF
124539-157831,SG/PG,Tre,Tre Mann,Mann,16.77777777777778,18,4100,ATL@CHA,CHA,ATL,O,Knee,,,,PG/SG
124539-157829,SF/PF,Aaron,Aaron Wiggins,Wiggins,21.113334147135415,15,4100,LAC@OKC,OKC,LAC,,,,,,SF/PF
124539-157839,C,Day'Ron,Day'Ron Sharpe,Sharpe,19.287499745686848,24,4100,MIA@BKN,BKN,MIA,,,,,,C
124539-14509,SF/SG,Klay,Klay Thompson,Thompson,17.25199951171875,25,4100,DET@DAL,DAL,DET,,,,,,SG/SF
124539-23798,SG/SF,Caris,Caris LeVert,LeVert,18.094999694824217,20,4100,DET@DAL,DET,DAL,,,,,,SG/SF
124539-23981,SF/SG,Alex,Alex Caruso,Caruso,17.88235294117647,17,4100,LAC@OKC,OKC,LAC,,,,,,SG/SF
124539-171757,PF/SF,Jake,Jake LaRavia,LaRavia,19.34800048828125,25,4100,LAL@UTA,LAL,UTA,,,,,,SF/PF
124539-110349,SF/PF,Rui,Rui Hachimura,Hachimura,20.525000254313152,24,4100,LAL@UTA,LAL,UTA,,,,,,SF/PF
124539-161553,SG,Dru,Dru Smith,Smith,17.984615619365986,26,4100,MIA@BKN,MIA,BKN,,,,,,SG
124539-55060,SG/SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,18.791666666666668,12,4100,LAC@OKC,LAC,OKC,,,,,,SG/SF
124539-203716,SF/PF,Tristan,Tristan da Silva,da Silva,18.23846200796274,26,4100,ORL@DEN,ORL,DEN,Q,Shoulder,,,,SF/PF
124539-58312,PG,D'Angelo,D'Angelo Russell,Russell,20.30952380952381,21,4100,DET@DAL,DAL,DET,Q,Illness,,,,PG
124539-203726,PG,Isaiah,Isaiah Collier,Collier,18.723528693704043,17,4100,LAL@UTA,UTA,LAL,,,,,,PG
124539-203762,PF/SF,Ronald,Ronald Holland,Holland,18.70384568434495,26,4100,DET@DAL,DET,DAL,,,,,,SF/PF
124539-203812,PG,Daniss,Daniss Jenkins,Jenkins,16.514285132998513,21,4000,DET@DAL,DET,DAL,,,,,,PG
124539-23665,SG/SF,Buddy,Buddy Hield,Hield,15.251851399739584,27,4000,GS@PHO,GS,PHO,,,,,,SG/SF
124539-157827,C,Isaiah,Isaiah Jackson,Jackson,19.911538931039665,26,4000,NY@IND,IND,NY,,,,,,C
124539-14503,C,Jonas,Jonas Valanciunas,Valanciunas,16.82,25,4000,ORL@DEN,DEN,ORL,,,,,,C
